query_type,query,runs,mean_latency_ms,median_latency_ms,p95_latency_ms,results_returned
frequent_term,crawler,30,41.72839999470549,42.89250000147149,50.08409998845309,10.0
multi_term,crawler benchmark,30,41.31672999355942,44.92469999240711,48.05310000665486,10.0
rare_term,unique_index_term_799,30,21.9945566689906,29.671299998881295,31.954100006259978,1.0
unknown_term,term_not_present_anywhere,30,13.879900002696862,15.279200015356764,27.966400026343763,0.0
