window,source,pages,total_time_seconds,mean_pages_per_second,median_pages_per_second,min_pages_per_second,max_pages_per_second
workers_1_to_5,derived_from_measured_worker_scaling_runs,1066,24.686931999982335,50.055273652600036,54.34776029430857,21.50627901774393,63.65649259022081
workers_6_to_10,derived_from_measured_worker_scaling_runs,1145,16.103282399941236,71.10085578617078,70.84472224563248,70.1525682968977,72.71444031541722
workers_11_to_15,derived_from_measured_worker_scaling_runs,1247,17.305399900011253,72.10955234043367,72.10029816495367,69.65093803001889,74.85978363654652
workers_16_to_20,derived_from_measured_worker_scaling_runs,1376,18.433162400033325,74.73110524796377,75.61804692024002,70.55049749093686,77.34991813798028
